Item_ID,Aegis_Name,Display_Name,View_Sprite,Costume_Type,Status
5157,C_Orc_Helm,C Orc Helm,86,Head_Top,Official
5224,C_Orc_Hero_Helm,C Orc Hero Helm,179,Head_Top,Official
5909,C_Valkyrie_Circlet,C Valkyrie Circlet,940,Head_Top,Official
5979,C_Angel_Fluttering,C Angel Fluttering,1380,Head_Low,Official
14677,C_Perfect_Ronin,C Perfect Ronin,1974,Head_Top,Official
14678,C_Elegant_Peaceke,C Elegant Peaceke,1973,Head_Top,Official
14679,C_Glowing_Mimic,C Glowing Mimic,1972,Head_Top,Official
18740,C_Hair_Of_The_Strong,C Hair Of The Strong,879,Head_Top,Official
18741,C_Will_O_Wisp,Costume Will O Wisp,880,Head_Top,Official
18742,C_MoonStar_Accessory,Costume Moon and Stars,881,Head_Mid,Official
18744,C_World_Star,Costume Twilight,883,Head_Mid,Official
19424,C_Master_Cat,Costume Master's Head,1806,Head_Low,Official
19433,C_Resonate_Taego,Costume Resonate Taego,1823,Head_Low,Official
19459,C_Luna_On_Shoulder,Costume Lunatic on Shoulder,1881,Head_Low,Official
19466,C_Small_ocean,Costume small sea    # !todo check english name,1883,Head_Top,Official
19524,C_Green_Feeler,Costume Green Feeler,2222,Head_Top,Official
19525,C_Jack_A_Dandy,Costume Jack A Dandy,58,Head_Top,Official
19526,C_Helm,Costume Helm,40,Head_Top,Official
19527,C_Sharp_Gear,Costume Spiky Band,43,Head_Top,Official
19528,C_Iron_Cane,Costume Iron Cain,53,Head_Low,Official
19529,C_Angelic_Chain,Costume Angel Wing,38,Head_Top,Official
19530,C_Wild_Rose,Costume Wild Rose,541,Head_Top,Official
19531,C_Cube_Mask,Costume Cube Mask,472,Head_Low,Official
19532,C_Red_Bunny_Band,Red Bunny Band,640,Head_Top,Official
19533,C_Spore_Hat,Costume Spore Hat,114,Head_Top,Official
19534,C_Tha_Despero_Mask,Costume Thanatos Despero Mask,693,Head_Low,Official
19535,C_Sinsuncho_Hat,Costume Sinsuncho Hat,730,Head_Top,Official
19536,C_Rose_Corsage,Costume Rose Corsage,533,Head_Top,Official
19537,C_Gryphon_Hat,Costume Gryphon Hat,591,Head_Top,Official
19539,C_Reginleif_Hairband,Costume Hairband Of Reginleif,468,Head_Mid,Official
19540,C_Rabbit_Earplug,Costume Rabbit Earplugs,515,Head_Mid,Official
19541,C_Romantic_White_Flower,Costume Romantic White Flower,259,Head_Low,Official
19542,C_Devil_Whisper,Costume Devil Whisper,712,Head_Mid,Official
19544,C_Tare_Neko_Cru,Costume Tare Neko Cru,692,Head_Top,Official
19545,C_Boys_Cap,Costume Boy's Cap,102,Head_Top,Official
19546,C_Valkyrie_Helm,Costume Valkyrie Helm,225,Head_Top,Official
19547,C_Deviruchi_Cap,Costume Deviruchi Cap,123,Head_Top,Official
19548,C_Frog_Cap,Costume Frog Cap,448,Head_Top,Official
19549,C_Magestic_Goat,Costume Magestic Goat,41,Head_Top,Official
19550,C_Blush,Costume Blush,125,Head_Mid,Official
19551,C_Elven_Ears,Costume Elven Ears,73,Head_Mid,Official
19552,C_Centimental_Flower,Costume Centimental Flower,56,Head_Low,Official
19553,C_Assassin_Mask_,Costume Assassin Mask,180,Head_Low,Official
19554,C_Hahoe_Mask,Costume Hahoe Mask,230,Head_Low,Official
19555,C_Crescent_Helm,Costume Crescent Moon Helm,213,Head_Mid,Official
19556,C_Kabuki_Mask,Costume Kabuki Mask,214,Head_Low,Official
19557,C_Ayothaya_Hat,Costume Ayothaya Hat,334,Head_Top,Official
19558,C_Crow_Hat,Costume Crow Hat,524,Head_Top,Official
19559,C_Baby_Dragon_Hat,Costume Baby Dragon Hat,525,Head_Top,Official
19560,C_Coati_Hat,Costume Coati Hat,527,Head_Top,Official
19561,C_Tucan_Hat,Costume Tucan Hat,528,Head_Top,Official
19562,C_Jaguar_Hat,Costume Jaguar Hat,530,Head_Low,Official
19563,C_Arhat_Mask,C Arhat Mask,545,Head_Low,Official
19564,C_Tiger_Arhat_Mask,Costume Tiger Arhat Mask,546,Head_Low,Official
19565,C_Chung_Hairband,Costume Chung Hairpin,583,Head_Top,Official
19566,C_Samurai_Mask,Costume Samurai Mask,644,Head_Low,Official
19567,C_Hatta_Black,Costume Hatta Black,676,Head_Low,Official
19568,C_Ancient_Horns,Costume Ancient Horns,757,Head_Top,Official
19569,C_Sprout_Hat,Costume Sprout Hat,758,Head_Top,Official
19570,C_Mercury_Riser,Costume Mercury Riser,759,Head_Top,Official
19571,C_White_Musang_Hat,Costume White Musang Hat,770,Head_Top,Official
19572,C_Black_Musang_Hat,Costume Black Musang Hat,771,Head_Top,Official
19573,C_Heart_Wing_Hairband,Costume Heart Wing Hairband,733,Head_Top,Official
19576,C_Tare_Pope,Costume Tare Pope,817,Head_Top,Official
19579,C_Red_Wind_Hat,Costume Red Wind Hat,613,Head_Top,Official
19581,C_Brabery_Hat,Costume Adventurer's Hat,891,Head_Top,Official
19586,C_Pink_Bunny_Band_J,Costume Pink Bunny Hair Band,898,Head_Top,Official
19587,C_King_Poring_Hat,Costume King Poring Hat,905,Head_Top,Official
19588,C_Cat_Hat_J,Costume Cat Hat,182,Head_Top,Official
19598,C_Wondering_Wolf_Helm,Costume Wandering Wolf Hat,490,Head_Mid,Official
19599,C_Imp_Hat,Costume Imp Hat,589,Head_Top,Official
19619,C_Corsair,C Corsair,105,Head_Top,Official
