Item_ID,Aegis_Name,Display_Name,Drop_Type,Target_Item_ID,Rate,Race,Script_Example
4030,King_Poring_Card,King Poring Card,item,909,10000,All,"bonus2 bAddMonsterDropItem,909,10000"
4188,Leib_Olmai_Card,Leib Olmai Card,item,990,100,RC_Brute,"bonus2 bAddMonsterDropItem,990,100"
4205,Mimic_Card,Mimic Card,item,603,10,All,"bonus2 bAddMonsterDropItem,603,10"
4224,Stem_Worm_Card,Stem Worm Card,item,12032,100,RC_Brute,"bonus2 bAddMonsterDropItem,12032,100"
4265,Li_Me_Mang_Ryang_Card,Jing Guai Card,item,12033,100,RC_Angel,"bonus2 bAddMonsterDropItem,12033,100"
4271,Giant_Honet_Card,Giant Hornet Card,item,992,100,RC_Insect,"bonus2 bAddMonsterDropItem,992,100"
4344,Anopheles_Card,Anopheles Card,item,12058,50,RC_Insect,"bonus2 bAddMonsterDropItem,12058,50"
4385,Dragon_Egg_Card,Dragon Egg Card,item,12048,50,RC_Dragon,"bonus2 bAddMonsterDropItem,12048,50"
4389,Plasma_Card,Plasma Card,item,12118,50,All,"bonus2 bAddMonsterDropItem,12118,50"
4389,Plasma_Card,Plasma Card,item,12119,50,All,"bonus2 bAddMonsterDropItem,12119,50"
4389,Plasma_Card,Plasma Card,item,12120,50,All,"bonus2 bAddMonsterDropItem,12120,50"
4389,Plasma_Card,Plasma Card,item,12121,50,All,"bonus2 bAddMonsterDropItem,12121,50"
4468,Pinguicula_Dark_Card,Dark Pinguicula Card,item,7932,10,All,"bonus2 bAddMonsterDropItem,7932,10"
4468,Pinguicula_Dark_Card,Dark Pinguicula Card,item,7933,10,All,"bonus2 bAddMonsterDropItem,7933,10"
4468,Pinguicula_Dark_Card,Dark Pinguicula Card,item,7934,10,All,"bonus2 bAddMonsterDropItem,7934,10"
4468,Pinguicula_Dark_Card,Dark Pinguicula Card,item,7935,10,All,"bonus2 bAddMonsterDropItem,7935,10"
4468,Pinguicula_Dark_Card,Dark Pinguicula Card,item,7936,10,All,"bonus2 bAddMonsterDropItem,7936,10"
4468,Pinguicula_Dark_Card,Dark Pinguicula Card,item,7937,10,All,"bonus2 bAddMonsterDropItem,7937,10"
4498,Sealed_Lady_Tanee_Card,Sealed Lady Tanee Card,item,513,100,All,"bonus2 bAddMonsterDropItem,513,100"
4880,Lucky_Day,Lucky Day,item,7444,10,All,"bonus2 bAddMonsterDropItem,7444,10"
4880,Lucky_Day,Lucky Day,item,7444,1,All,"bonus2 bAddMonsterDropItem,7444,1"
25706,HighpriestStone_Top,High Priest Stone (Upper),item,664,30,All,"bonus2 bAddMonsterDropItem,664,30"
25706,HighpriestStone_Top,High Priest Stone (Upper),item,665,30,All,"bonus2 bAddMonsterDropItem,665,30"
25706,HighpriestStone_Top,High Priest Stone (Upper),item,666,30,All,"bonus2 bAddMonsterDropItem,666,30"
25706,HighpriestStone_Top,High Priest Stone (Upper),item,667,30,All,"bonus2 bAddMonsterDropItem,667,30"
27200,Nihil_Card,Nihil Card,item,12806,30,All,"bonus2 bAddMonsterDropItem,12806,30"
1300,Cleaver_,Cleaver,item,517,3000,RC_Brute,"bonus2 bAddMonsterDropItem,517,3000"
1422,Hunting_Spear,Hunting Spear,item,517,1000,RC_Brute,"bonus2 bAddMonsterDropItem,517,1000"
2705,Golden_Accessory2,Golden Accessories,item,12018,500,All,"bonus2 bAddMonsterDropItem,12018,500"
5105,Hat_Of_Cake_,2nd Anniversary Hat,item,7864,7,All,"bonus2 bAddMonsterDropItem,7864,7"
5105,Hat_Of_Cake_,2nd Anniversary Hat,item,7864,7,All,"bonus2 bAddMonsterDropItem,7864,7"
5108,Detective_Hat,Renown Detective's Cap,item,605,100,All,"bonus2 bAddMonsterDropItem,605,100"
5202,Pumpkin_Hat_,Fantastic Pumpkin-Head,item,529,1500,RC_DemiHuman,"bonus2 bAddMonsterDropItem,529,1500"
5204,Event_Pierrot_Nose,Rudolph's Nose,item,12130,30,All,"bonus2 bAddMonsterDropItem,12130,30"
5213,Black_Bunny_Band,Sheila Hairnet,item,558,500,All,"bonus2 bAddMonsterDropItem,558,500"
5307,Carmen_Miranda's_Hat,Carmen Miranda's Hat,item,512,10,RC_All,"bonus2 bAddMonsterDropItem,512,10"
5307,Carmen_Miranda's_Hat,Carmen Miranda's Hat,item,513,10,RC_All,"bonus2 bAddMonsterDropItem,513,10"
5307,Carmen_Miranda's_Hat,Carmen Miranda's Hat,item,514,10,RC_All,"bonus2 bAddMonsterDropItem,514,10"
5307,Carmen_Miranda's_Hat,Carmen Miranda's Hat,item,578,10,RC_All,"bonus2 bAddMonsterDropItem,578,10"
5321,Indonesian_Bandana,Bandana Merah Putih,item,518,300,All,"bonus2 bAddMonsterDropItem,518,300"
